@relation TWS-3D-v3.3.2-grayscale

@attribute original numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {'class 1','class 2'}

@data
2,2.2,0.2,2.307692,0.397436,2.178862,0.246435,2.18995,0.270724,'class 1'
2,2,0,1.923077,0.076923,2.211382,0.299214,2.19799,0.291746,'class 1'
2,2,0,2,0.166667,2.105691,0.292017,2.207035,0.289085,'class 1'
2,1.8,0.2,2.384615,0.75641,2.211382,0.381181,2.231156,0.348928,'class 1'
2,2.8,1.2,2.384615,0.923077,2.235772,0.394775,2.227136,0.340712,'class 1'
2,2.2,0.2,2.538461,0.435897,2.235772,0.312808,2.226131,0.334125,'class 1'
2,2.2,0.2,2.076923,0.24359,2.276423,0.300013,2.233166,0.337933,'class 1'
4,2.6,0.8,2.307692,0.397436,2.162602,0.317606,2.21005,0.294869,'class 1'
2,2.2,0.2,2.307692,0.564103,2.219512,0.353059,2.18995,0.260663,'class 1'
1,2,0.5,2.384615,0.589744,2.227642,0.341197,2.172864,0.245742,'class 1'
3,2.2,0.2,2.153846,0.474359,2.203252,0.294416,2.162814,0.237046,'class 1'
2,2,0,2,0.166667,2.081301,0.173664,2.145729,0.217172,'class 1'
2,2,0,2.153846,0.141026,2.073171,0.166733,2.130653,0.214301,'class 1'
2,2,0,2.153846,0.141026,2.081301,0.173664,2.104523,0.204356,'class 1'
3,2.2,0.2,2,0.166667,2.113821,0.249234,2.098492,0.201557,'class 1'
2,2,0,2.076923,0.076923,2.105691,0.25923,2.108543,0.233679,'class 1'
2,2.2,0.2,2.153846,0.141026,2.097561,0.252699,2.129648,0.231665,'class 1'
2,2,0,2.076923,0.076923,2.105691,0.177262,2.119598,0.226125,'class 1'
2,2,0,2.307692,0.397436,2.097561,0.154338,2.113568,0.217472,'class 1'
4,2.4,0.8,2.153846,0.307692,2.154472,0.197254,2.104523,0.210392,'class 1'
2,2.2,0.2,2,0.166667,2.073171,0.265094,2.088442,0.183317,'class 1'
2,2,0,2,0,2.04065,0.252432,2.091457,0.18378,'class 1'
2,2,0,1.846154,0.141026,2.081301,0.206451,2.088442,0.177281,'class 1'
1,1.8,0.2,1.923077,0.076923,2.113821,0.200053,2.077387,0.170062,'class 1'
2,2,0,1.923077,0.076923,2.073171,0.166733,2.077387,0.180122,'class 1'
2,2,0,1.923077,0.076923,2.089431,0.164068,2.078392,0.168899,'class 1'
2,1.8,0.2,2,0.166667,2.065041,0.176063,2.085427,0.166739,'class 1'
3,2.2,0.2,2.076923,0.076923,2.089431,0.196855,2.077387,0.172074,'class 1'
2,2.2,0.2,2.076923,0.076923,2.081301,0.091697,2.077387,0.166037,'class 1'
2,2,0,2,0,2.073171,0.117553,2.072362,0.161761,'class 1'
2,2.2,0.2,2.076923,0.076923,2.089431,0.229641,2.054271,0.137897,'class 1'
2,2,0,2,0,2.121951,0.239104,2.056281,0.149747,'class 1'
2,2,0,2,0,2.081301,0.222844,2.052261,0.144147,'class 1'
2,2,0,2,0,2.04878,0.161535,2.051256,0.149282,'class 1'
2,2,0,2,0,2.03252,0.097294,2.045226,0.1559,'class 1'
2,2,0,2,0,2.00813,0.155671,2.034171,0.145712,'class 1'
2,2,0,2,0,1.99187,0.155671,2.035176,0.146649,'class 1'
1,1.6,0.3,1.769231,0.192308,2.03252,0.212049,2.038191,0.143409,'class 1'
2,1.8,0.2,1.923077,0.24359,2.04878,0.177929,2.038191,0.141397,'class 1'
2,2.2,0.2,2.230769,0.192308,2.073171,0.19952,2.049246,0.143448,'class 1'
2,2,0,2.076923,0.076923,2.097561,0.137945,2.056281,0.135662,'class 1'
2,2,0,2,0,2.02439,0.073171,2.054271,0.127836,'class 1'
2,2,0,2,0,2.04065,0.055711,2.054271,0.119788,'class 1'
2,2,0,2,0,2.03252,0.031721,2.049246,0.113267,'class 1'
2,2,0,2,0,2.04878,0.046781,2.045226,0.115659,'class 1'
2,2,0,2,0,2.02439,0.073171,2.056281,0.12359,'class 1'
2,1.8,0.2,2.153846,0.307692,2.121951,0.173531,2.056281,0.141698,'class 1'
1,2.2,0.7,2.076923,0.24359,2.121951,0.206317,2.046231,0.138706,'class 1'
2,2.2,0.2,2.153846,0.307692,2.154472,0.213648,2.049246,0.143448,'class 1'
2,2.2,0.2,2.307692,0.230769,2.121951,0.239104,2.043216,0.144006,'class 1'
2,2,0,2,0,2.105691,0.275623,2.040201,0.145264,'class 1'
2,2,0,2,0.166667,2.04878,0.145142,2.043216,0.13797,'class 1'
3,2.2,0.2,2.076923,0.24359,2.01626,0.114488,2.038191,0.135361,'class 1'
2,2.4,0.3,2.153846,0.141026,2.01626,0.098094,2.035176,0.124516,'class 1'
2,2.2,0.2,2.076923,0.076923,2.01626,0.098094,2.029146,0.112832,'class 1'
2,1.8,0.2,1.923077,0.076923,1.98374,0.114488,2.026131,0.09992,'class 1'
2,1.8,0.2,1.846154,0.141026,2.00813,0.106491,2.013065,0.097415,'class 1'
2,2,0,1.923077,0.076923,1.98374,0.098094,2.007035,0.10156,'class 1'
2,2,0,2,0,1.98374,0.081701,2.007035,0.10156,'class 1'
2,2,0,1.923077,0.076923,1.97561,0.056777,1.992965,0.10156,'class 1'
2,1.8,0.2,1.846154,0.141026,1.95935,0.088498,1.990955,0.095492,'class 1'
2,2.2,0.2,2.153846,0.141026,2.130081,0.228842,2.152764,0.232173,'class 1'
3,2.4,0.3,2.230769,0.192308,2.089431,0.213248,2.153769,0.234883,'class 1'
2,2.4,0.3,2.230769,0.192308,2.113821,0.18366,2.144724,0.230543,'class 1'
2,2,0,2.153846,0.141026,2.146342,0.207917,2.152764,0.228149,'class 1'
2,2.2,0.2,2.153846,0.141026,2.178862,0.262828,2.171859,0.241058,'class 1'
2,2,0,2.153846,0.141026,2.178862,0.262828,2.171859,0.247095,'class 1'
2,2.2,0.2,2.230769,0.192308,2.203252,0.278022,2.176884,0.246346,'class 1'
3,2.4,0.3,2.153846,0.141026,2.211382,0.266427,2.167839,0.230353,'class 1'
2,2.2,0.2,2.384615,0.423077,2.211382,0.200853,2.157789,0.227593,'class 1'
2,2.2,0.2,2.384615,0.423077,2.243902,0.235106,2.176884,0.244334,'class 1'
3,2.4,0.3,2.230769,0.192308,2.268293,0.247101,2.165829,0.237061,'class 1'
3,2.6,0.3,2.230769,0.192308,2.235772,0.247234,2.158794,0.22828,'class 1'
3,2.4,0.3,2.384615,0.25641,2.170732,0.257497,2.151759,0.217389,'class 1'
2,2,0,2.307692,0.230769,2.186992,0.28442,2.159799,0.230978,'class 1'
2,2.2,0.2,2,0.333333,2.130081,0.310809,2.155779,0.236272,'class 1'
2,1.6,0.3,2,0.333333,2.113821,0.298414,2.154774,0.241615,'class 1'
2,1.6,0.3,1.923077,0.410256,2.146342,0.404638,2.171859,0.259167,'class 1'
2,1.8,0.2,1.923077,0.410256,2.154472,0.410369,2.168844,0.265226,'class 1'
2,2.2,0.2,2.076923,0.24359,2.097561,0.334666,2.159799,0.255123,'class 1'
2,2.2,0.2,2.230769,0.525641,2.170732,0.339464,2.175879,0.25978,'class 1'
2,2.4,0.8,2.307692,0.564103,2.162602,0.268426,2.164824,0.256508,'class 1'
2,2,0.5,2.307692,0.564103,2.195122,0.289484,2.163819,0.257845,'class 1'
3,2.4,0.3,2.230769,0.358974,2.203252,0.278022,2.165829,0.253157,'class 1'
3,2.8,0.2,2.384615,0.25641,2.211382,0.266427,2.158794,0.242365,'class 1'
2,2.2,0.2,2.307692,0.230769,2.235772,0.263628,2.155779,0.240296,'class 1'
2,2,0,2.153846,0.141026,2.235772,0.247234,2.159799,0.239026,'class 1'
2,2,0,2.076923,0.076923,2.219512,0.221911,2.152764,0.246257,'class 1'
2,2.2,0.2,2.230769,0.192308,2.219512,0.221911,2.151759,0.235497,'class 1'
2,2.4,0.3,2.230769,0.192308,2.178862,0.197254,2.164824,0.252484,'class 1'
3,2.2,0.2,2.230769,0.192308,2.170732,0.191923,2.161809,0.244415,'class 1'
2,2.2,0.2,2.076923,0.076923,2.113821,0.18366,2.146734,0.240017,'class 1'
2,2,0,2.076923,0.076923,2.105691,0.292017,2.125628,0.236717,'class 1'
2,2,0,2,0,2.097561,0.285486,2.120603,0.234937,'class 1'
2,2,0,2.153846,0.307692,2.130081,0.278022,2.140703,0.251812,'class 1'
2,2.4,0.8,2.384615,0.589744,2.105691,0.275623,2.144724,0.264748,'class 1'
4,2.8,1.2,2.384615,0.589744,2.056911,0.250833,2.138694,0.258411,'class 1'
2,2,0,2.076923,0.410256,2.138211,0.28402,2.120603,0.259082,'class 1'
2,1.8,0.2,1.923077,0.076923,2.105691,0.242836,2.109548,0.256599,'class 1'
2,2,0,2.076923,0.24359,2.113821,0.200053,2.103518,0.249837,'class 1'
2,2.2,0.2,2.153846,0.141026,2.089431,0.196855,2.104523,0.244597,'class 1'
3,2.2,0.2,2.153846,0.141026,2.097561,0.170732,2.100502,0.237374,'class 1'
2,2,0,1.923077,0.076923,1.934959,0.126883,1.99397,0.118676,'class 1'
2,2,0,1.923077,0.076923,1.943089,0.103292,1.98995,0.118611,'class 1'
2,2,0,2,0.166667,1.96748,0.113688,1.98392,0.114429,'class 1'
2,2,0.5,2,0.166667,1.95935,0.121285,1.984925,0.117479,'class 1'
3,2.2,0.2,2.076923,0.24359,1.98374,0.130881,1.980905,0.113317,'class 1'
2,2.4,0.3,2.230769,0.358974,1.98374,0.130881,1.98392,0.114429,'class 1'
3,2,0.5,2.076923,0.24359,2,0.147541,1.9799,0.112272,'class 1'
2,2.2,0.2,2,0.166667,2.02439,0.138745,1.9799,0.118308,'class 1'
2,2,0,2.076923,0.076923,2.056911,0.119685,1.98392,0.122478,'class 1'
2,2,0,2,0,2.01626,0.130881,1.98392,0.128514,'class 1'
2,2,0,2.076923,0.076923,1.97561,0.138745,1.977889,0.134319,'class 1'
2,2,0,2,0,1.918699,0.124484,1.9799,0.134404,'class 1'
2,2,0,2,0,1.910569,0.114887,1.98392,0.138574,'class 1'
2,2,0,2,0,1.934959,0.110489,1.982915,0.133511,'class 1'
2,2,0,2,0,1.926829,0.133946,1.982915,0.12345,'class 1'
2,2,0,2,0,1.96748,0.130081,1.982915,0.12345,'class 1'
2,2,0,2.076923,0.076923,1.95935,0.121285,1.980905,0.12539,'class 1'
2,2.2,0.2,2.076923,0.076923,1.96748,0.097294,1.988945,0.12362,'class 1'
2,2,0,2.076923,0.076923,2,0.081967,1.992965,0.119669,'class 1'
2,2,0,2,0,2.01626,0.065307,1.994975,0.123717,'class 1'
2,2,0,2,0,1.99187,0.05731,2,0.124748,'class 1'
2,2,0,2,0,2.00813,0.05731,1.992965,0.117657,'class 1'
2,2,0,1.923077,0.076923,2.01626,0.081701,1.98794,0.120579,'class 1'
2,1.8,0.2,2,0.166667,2.02439,0.105958,1.99397,0.124712,'class 1'
2,2.2,0.2,2,0.166667,1.99187,0.122884,1.98392,0.122478,'class 1'
2,2,0,2.076923,0.076923,1.95122,0.112355,1.984925,0.125527,'class 1'
2,2,0,2,0,1.95935,0.088498,1.982915,0.119426,'class 1'
2,2,0,2,0,1.95935,0.088498,1.972864,0.116969,'class 1'
2,2,0,2,0,1.918699,0.091697,1.969849,0.11579,'class 1'
2,2,0,2,0,1.894309,0.128082,1.960804,0.124217,'class 1'
2,2,0,2,0,1.902439,0.137945,1.963819,0.121426,'class 1'
2,2,0,2,0,1.934959,0.159669,1.964824,0.11848,'class 1'
2,2,0,2.076923,0.076923,1.95935,0.186859,1.958794,0.124055,'class 1'
2,2.2,0.2,2,0.166667,1.95122,0.210716,1.955779,0.126815,'class 1'
2,2.2,0.2,2,0.166667,2,0.196721,1.955779,0.126815,'class 1'
2,2,0,2.153846,0.141026,1.95935,0.170465,1.951759,0.124431,'class 1'
2,2.4,0.3,2.153846,0.141026,1.98374,0.163668,1.948744,0.125137,'class 1'
3,2.2,0.2,2.153846,0.141026,1.95122,0.161535,1.954774,0.119683,'class 1'
2,2.2,0.2,2.076923,0.076923,1.95122,0.128749,1.961809,0.119264,'class 1'
